Unnamed: 0,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS,new_cluster_label,avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction
183,0.0,0.4149206128211596,0.4384997941482261,9.782215178923911,2.0,200.0,inf,inf,3.3216464746728174,2012-02-18 06:00:46,2012-02-18 06:10:11,300,3.0,"[[1329544846.0, 37.787414, 1.855549, 474.3], [1329545110.0, 37.787426, 1.855547, 475.0], [1329545411.0, 37.787397, 1.85554, 474.8]]",200.0,183,474.7,594.5284606185667,177.9449532523135,103.08964508339814,,594.5284606185667,4.844161306238119,2.1956887167453916,,0.9935316621363105,0.33333333333333337,10.622832079314355,8.401235991195305,8.401235991195305,177.9449532523135
184,0.0,0.3055097179351041,0.694173037110254,5.267264673845721,2.0,200.0,inf,inf,17.178340831520938,2012-02-18 15:15:06,2012-02-18 15:35:11,326,5.0,"[[1329578106.0, 38.942579, 2.21986, 347.2], [1329578409.0, 38.942704, 2.219848, 349.4], [1329578710.0, 38.942725, 2.219826, 343.0], [1329579010.0, 38.942723, 2.219816, 345.3], [1329579311.0, 38.942644, 2.219775, 347.2]]",200.0,184,346.41999999999996,162.75424923641262,166.42417951659652,10.157056555050639,17.098066138235968,162.75424923641262,33.99956327714947,11.895082837529307,261.44135566763526,-0.005693343420721586,-0.10540925533894596,4.98532016770236,28.16850084621138,28.16850084621138,166.42417951659652
185,0.0,-0.2768162373000629,1.9136912523353875,1.7036425359214666,3.0,4395.473888254489,4384.582958448515,4395.473888254489,17.178340831520938,2012-02-18 15:15:06,2012-02-18 15:35:11,327,5.0,"[[1329578106.0, 38.942579, 2.21986, 347.2], [1329578409.0, 38.942704, 2.219848, 349.4], [1329578710.0, 38.942725, 2.219826, 343.0], [1329579010.0, 38.942723, 2.219816, 345.3], [1329579311.0, 38.942644, 2.219775, 347.2]]",4395.473888254489,185,346.41999999999996,162.75424923641262,166.42417951659652,10.157056555050639,17.098066138235968,162.75424923641262,33.99956327714947,11.895082837529307,261.44135566763526,-0.005693343420721586,-0.10540925533894596,4.98532016770236,28.16850084621138,28.16850084621138,166.42417951659652
186,1.0,-0.2768162373000629,1.9136912523353875,1.7036425359214666,3.0,4395.473888254489,4384.582958448515,4395.473888254489,4.3860097173881565,2012-02-18 15:50:10,2012-02-18 16:00:11,327,3.0,"[[1329580210.0, 38.903149, 2.218295, 345.7], [1329580511.0, 38.903141, 2.218292, 349.7], [1329580811.0, 38.903148, 2.218262, 348.1]]",4395.473888254489,186,347.8333333333333,274.2669444842004,208.15265425113824,-20.080684173163842,,-274.2669444842004,7.891717505739228,4.386009717384217,,3.977851605758639,0.33333333333333337,10.638110834882905,13.130098764555575,13.130098764555575,208.15265425113824
187,0.0,-0.0370227164032775,1.4499435018248337,2.7189470492976384,3.0,4397.335313661573,4388.932268155363,4397.335313661573,11.436788000882872,2012-02-18 15:25:10,2012-02-18 15:35:11,328,3.0,"[[1329578710.0, 38.942725, 2.219826, 343.0], [1329579010.0, 38.942723, 2.219816, 345.3], [1329579311.0, 38.942644, 2.219775, 347.2]]",4397.335313661573,187,345.1666666666667,170.8400234424107,216.92766735493137,19.98647062524224,,170.8400234424107,12.636291638733498,11.436788000944658,,6.989479512735308,1.0,26.286203907014585,21.004716648195885,21.004716648195885,216.92766735493137
188,1.0,-0.0370227164032775,1.4499435018248337,2.7189470492976384,3.0,4397.335313661573,4388.932268155363,4397.335313661573,6.875194230091354,2012-02-18 15:50:10,2012-02-18 16:20:12,328,7.0,"[[1329580210.0, 38.903149, 2.218295, 345.7], [1329580511.0, 38.903141, 2.218292, 349.7], [1329580811.0, 38.903148, 2.218262, 348.1], [1329581110.0, 38.903154, 2.218306, 348.8], [1329581411.0, 38.903137, 2.218302, 346.5], [1329581711.0, 38.903153, 2.218286, 345.6], [1329582012.0, 38.903171, 2.21831, 351.6]]",4397.335313661573,188,348.0,473.8103848018701,142.11423084088497,-17.88878815642613,-13.901340534119345,-140.7127487192738,25.423982654487045,6.600555362115375,41.406090419856056,3.2648665232083,0.04761904761904762,2.4018570227719507,14.107889161479399,14.107889161479399,142.11423084088497
189,0.0,-0.1258682459161666,0.8732186000444571,0.8624533550615944,2.0,200.0,inf,inf,6.875194230091354,2012-02-18 15:50:10,2012-02-18 16:40:11,329,11.0,"[[1329580210.0, 38.903149, 2.218295, 345.7], [1329580511.0, 38.903141, 2.218292, 349.7], [1329580811.0, 38.903148, 2.218262, 348.1], [1329581110.0, 38.903154, 2.218306, 348.8], [1329581411.0, 38.903137, 2.218302, 346.5], [1329581711.0, 38.903153, 2.218286, 345.6], [1329582012.0, 38.903171, 2.21831, 351.6], [1329582313.0, 38.90316, 2.218302, 350.8], [1329582613.0, 38.90315, 2.218303, 346.5], [1329582912.0, 38.903154, 2.218287, 349.6], [1329583211.0, 38.903154, 2.218293, 349.8]]",200.0,189,348.42727272727274,453.72500515239307,152.83262849842987,-11.899495503736283,-34.776607959171386,-92.32113882223756,35.87519836400557,4.143440831950031,-12.211028736326398,1.3634847794605185,0.2201927530252721,0.20173626078515633,11.951369875370222,11.951369875370222,152.83262849842987
190,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,7.36367059614097,2012-02-18 16:05:10,2012-02-18 17:00:11,330,12.0,"[[1329581110.0, 38.903154, 2.218306, 348.8], [1329581411.0, 38.903137, 2.218302, 346.5], [1329581711.0, 38.903153, 2.218286, 345.6], [1329582012.0, 38.903171, 2.21831, 351.6], [1329582313.0, 38.90316, 2.218302, 350.8], [1329582613.0, 38.90315, 2.218303, 346.5], [1329582912.0, 38.903154, 2.218287, 349.6], [1329583211.0, 38.903154, 2.218293, 349.8], [1329583512.0, 38.903141, 2.218293, 352.8], [1329583812.0, 38.903149, 2.218284, 346.9], [1329584111.0, 38.903142, 2.218282, 349.7], [1329584411.0, 38.903158, 2.218295, 351.1]]",200.0,190,349.14166666666665,485.136392462163,165.23433809789694,20.26815778392295,-30.07226776670264,-68.71607944701364,37.9755576352848,2.6426528926208825,0.3955476568053058,0.6972121239057539,0.29008478786241815,3.8070700335048517,11.500040403459485,11.500040403459485,165.23433809789694
191,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,6.589654425187973,2012-02-18 16:25:13,2012-02-18 17:20:11,331,12.0,"[[1329582313.0, 38.90316, 2.218302, 350.8], [1329582613.0, 38.90315, 2.218303, 346.5], [1329582912.0, 38.903154, 2.218287, 349.6], [1329583211.0, 38.903154, 2.218293, 349.8], [1329583512.0, 38.903141, 2.218293, 352.8], [1329583812.0, 38.903149, 2.218284, 346.9], [1329584111.0, 38.903142, 2.218282, 349.7], [1329584411.0, 38.903158, 2.218295, 351.1], [1329584712.0, 38.903144, 2.218288, 350.6], [1329585010.0, 38.903141, 2.218283, 347.3], [1329585312.0, 38.903177, 2.218297, 352.3], [1329585611.0, 38.90314, 2.218283, 350.7]]",200.0,191,349.8416666666667,515.0775546165524,175.2147857319033,26.56218590550771,108.67171306739532,-9.463666109296856,40.16085117113728,3.067870830257276,-4.173018489183941,-0.04500476194080016,0.2121212121212121,3.655252958725211,12.1704473288079,12.1704473288079,175.2147857319033
192,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,11.291417798700872,2012-02-18 16:45:12,2012-02-18 17:40:12,332,12.0,"[[1329583512.0, 38.903141, 2.218293, 352.8], [1329583812.0, 38.903149, 2.218284, 346.9], [1329584111.0, 38.903142, 2.218282, 349.7], [1329584411.0, 38.903158, 2.218295, 351.1], [1329584712.0, 38.903144, 2.218288, 350.6], [1329585010.0, 38.903141, 2.218283, 347.3], [1329585312.0, 38.903177, 2.218297, 352.3], [1329585611.0, 38.90314, 2.218283, 350.7], [1329585911.0, 38.90315, 2.218315, 351.1], [1329586212.0, 38.903145, 2.218299, 350.2], [1329586511.0, 38.903166, 2.218291, 355.2], [1329586812.0, 38.903176, 2.218302, 357.6]]",200.0,192,351.2916666666667,478.2035017741793,143.95259961748604,-6.733895916337957,-65.32155599396867,-33.19161999713043,42.4119330618648,6.258202501310991,1.5819618577699732,1.4430767554632764,0.3511552695176641,4.490634880078675,12.852236213877365,12.852236213877365,143.95259961748604
