epoch,timestamp,location-long,location-lat,height-above-msl
1682688533,2023-04-28 13:28:53,-6.4825324,37.4286464,140.93
1682688653,2023-04-28 13:30:53,-6.4828944,37.4287456,109.66
1682688712,2023-04-28 13:31:52,-6.482798,37.4286752,114.78
1682688773,2023-04-28 13:32:53,-6.4812404,37.4290656,124.23
1682688832,2023-04-28 13:33:52,-6.4812884,37.4291008,123.1
1682688893,2023-04-28 13:34:53,-6.481236,37.4291712,143.17
1682689012,2023-04-28 13:36:52,-6.4813396,37.42912,71.27
1682689132,2023-04-28 13:38:52,-6.481296,37.4291232,116.08
1682689253,2023-04-28 13:40:53,-6.4811204,37.4290528,150.75
1682689373,2023-04-28 13:42:53,-6.481192,37.4290464,142.03
1682689498,2023-04-28 13:44:58,-6.4811816,37.4290592,130.32
1682689637,2023-04-28 13:47:17,-6.48114,37.4290528,138.22
1682689733,2023-04-28 13:48:53,-6.4812296,37.4291104,130.21
1682689866,2023-04-28 13:51:06,-6.4827696,37.4286656,116.11
1682689973,2023-04-28 13:52:53,-6.4824508,37.4286304,171.81
1682690092,2023-04-28 13:54:52,-6.481046,37.4290592,165.34
1682690213,2023-04-28 13:56:53,-6.479382,37.4295552,139.73
1682690332,2023-04-28 13:58:52,-6.4795088,37.4295968,144.46
1682690474,2023-04-28 14:01:14,-6.4795104,37.4295648,142.06
1682690572,2023-04-28 14:02:52,-6.479528,37.4294976,142.32
1682690693,2023-04-28 14:04:53,-6.4795188,37.4295616,142.23
1682690813,2023-04-28 14:06:53,-6.4795084,37.4294976,153.45
1682690933,2023-04-28 14:08:53,-6.4795888,37.4294304,145.8
1682691052,2023-04-28 14:10:52,-6.4795032,37.4295648,147.96
1682691176,2023-04-28 14:12:56,-6.4826832,37.428544,134.35
1682691292,2023-04-28 14:14:52,-6.48269,37.428656,124.78
1682691413,2023-04-28 14:16:53,-6.4826708,37.4286336,137.57
1682691532,2023-04-28 14:18:52,-6.4826868,37.4286112,156.82
1682691653,2023-04-28 14:20:53,-6.4833436,37.4270208,106.86
1682691773,2023-04-28 14:22:53,-6.4826784,37.42864,113.12
1682691893,2023-04-28 14:24:53,-6.482716,37.4286528,129.59
1682692012,2023-04-28 14:26:52,-6.4826128,37.4286336,141.46
1682692131,2023-04-28 14:28:51,-6.4826636,37.4286912,148.1
1682692253,2023-04-28 14:30:53,-6.4812028,37.4291104,152.28
1682692373,2023-04-28 14:32:53,-6.481394,37.42912,139.2
1682692493,2023-04-28 14:34:53,-6.4811684,37.4290816,180.23
1682692613,2023-04-28 14:36:53,-6.4812884,37.4291264,132.44
1682692733,2023-04-28 14:38:53,-6.4826408,37.4286944,169.56
1682692857,2023-04-28 14:40:57,-6.4821448,37.4286272,170.91
1682692975,2023-04-28 14:42:55,-6.4827012,37.4287392,160.18
1682693110,2023-04-28 14:45:10,-6.4825468,37.428656,125.09
1682693213,2023-04-28 14:46:53,-6.4826616,37.4285248,141.01
1682693335,2023-04-28 14:48:55,-6.4828296,37.4272896,95.59
1682693453,2023-04-28 14:50:53,-6.4827708,37.4271904,99.45
1682693572,2023-04-28 14:52:52,-6.4827016,37.4265216,227.67
